id,uri,siglaTipo,codTipo,numero,ano,ementa,dataApresentacao
2345716,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345716,PL,139,50,2023,Cria a Comenda do Mérito Ambiental.,2023-02-02T09:09
2345718,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345718,PL,139,51,2023,"Inclui o inciso VII ao § 2º-B, do art. 7º da Lei nº 8.906, de 4 de julho de 1994 (Estatuto da Advocacia), para permitir a sustentação oral do advogado no agravo regimento do recurso especial.",2023-02-02T09:09
2345719,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345719,PLP,140,10,2023,"Altera a Lei Complementar nº 101, de 2000 (Lei de Responsabilidade Fiscal), a Lei nº 4.131, de 1962, Lei 1.079, de 1950 (Lei de crimes de responsabilidade) e a Lei 8.429, de 1992 (Lei de Improbidade), para vedar que a União ou empresas públicas por ela controladas façam empréstimos a países que não saldaram suas dívidas com o Brasil ou suas empresas públicas",2023-02-02T11:42
2345720,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345720,PL,139,52,2023,"Altera o inciso VI do art. 8 da Lei nº 13.675, de 11 de junho de 2018, para dispor sobre a participação de instituições da sociedade civil na definição das políticas de segurança relativas ao Plano Nacional de Prevenção e Enfrentamento à Violência contra a Mulher.",2023-02-02T09:09
2345721,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345721,PLP,140,11,2023,Dispõe sobre normas para a emissão de moeda pelo Banco Central,2023-02-02T11:42
2345722,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345722,PL,139,53,2023,Cria o Roteiro Turístico dos Cafés da Alta Mogiana.,2023-02-02T09:09
2345727,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345727,PL,139,54,2023,"Acrescenta dispositivos à Lei nº 10.046, de 10 de janeiro de 2002 (Código Civil), para prever as hipóteses em que não é cabível o arbitramento de aluguel, pelo uso exclusivo de imóvel comum por um dos condôminos, em favor do coproprietário.",2023-02-02T09:09
2345728,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345728,PL,139,55,2023,"Altera a Lei nº 8.036, de 11 de maio de 1990, para permitir a movimentação da conta vinculada do trabalhador no Fundo de Garantia do Tempo de Serviço (FGTS) para custear o tratamento de reprodução assistida.",2023-02-02T09:09
2345729,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345729,PL,139,56,2023,"Acresce parágrafo único ao artigo 115 da Lei 8.069, de 13 de julho de 1990 – Estatuto da Criança e do Adolescente, para permitir a imposição de prestação de serviços à comunidade, caso o adolescente infrator ou seu responsável não assine o termo de advertência.",2023-02-02T09:09
2345731,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345731,PL,139,57,2023,Altera o Código Penal para incluir entre as causas de aumento de pena a retirada de preservativo sem o consentimento da parceira ou do parceiro.,2023-02-02T09:10
2345732,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345732,PL,139,58,2023,"Proíbe a fabricação, venda e utilização de andador infantil em todo o território nacional.",2023-02-02T09:10
2345734,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345734,PL,139,59,2023,"Inclui os §§ 1°, 2° e 3° no art. 13 da Lei nº 7.210, de 11 de julho de 1984 – Lei de Execuções Penais, para estabelecer os produtos de higiene como itens obrigatórios nos estabelecimentos prisionais.",2023-02-02T09:10
2345736,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345736,PL,139,60,2023,"Acrescenta artigo à Consolidação das Leis do Trabalho – CLT, a fim de dispor sobre a prioridade de tramitação de processos relacionados a acidente do trabalho.",2023-02-02T09:10
2345737,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345737,PL,139,61,2023,"Dispõe sobre a prescrição das multas previstas na Lei nº 8.069, de 13 de julho de 1990 – Estatuto da Criança e do Adolescente.",2023-02-02T09:10
2345738,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345738,PL,139,62,2023,"Altera o § 2º do art. 833 da Lei nº 13.105, de 16 de março de 2015 – Código de Processo Civil, para permitir desconto de prestação alimentícia em parcela de seguro-desemprego.",2023-02-02T09:10
2345739,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345739,PL,139,63,2023,"Altera a Lei nº 4.737, de 15 de julho de 1965 (Código Eleitoral), para estabelecer prazo para julgamento das ações eleitorais que possam acarretar a extinção do mandato eletivo.",2023-02-02T09:10
2345740,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345740,PL,139,64,2023,Dispõe sobre a obrigatoriedade de as empresas concessionárias de serviços de radiodifusão sonora e de sons e imagens (emissoras de rádio e televisão) veicularem campanha institucional de educação e preservação ambiental.,2023-02-02T09:10
2345741,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345741,PL,139,65,2023,"Altera a Lei nº 14.312, de 14 de março de 2022 para incluir os professores da rede pública de ensino entre os beneficiários do Programa Habite Seguro.",2023-02-02T09:10
